RUNNER,NAME,TYPE,DATE,DISTANCE,CATEGORY
3430,Tour du Lac Brome,9km trail,2013-06-15,9.0,F30-39
3430,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,F30-34
3430,BMO Vancouver Marathon,half marathon,2012-05-06,21.0975,F30-34
4043,Marathon Oasis Rock ‘n’ Roll de Montréal,half marathon,2014-09-28,21.0975,M50-54
4043,La Foulee des Parcs,10km,2014-06-15,10.0,M50-59
4043,La Foulee des Parcs,2km,2014-06-15,2.0,M50-59
4043,Le Defi des Peres Noel de la Fondation Hopital Pierre-Boucher,1km,2013-11-23,1.0,MALE
4043,Marathon Oasis de Montreal,10km,2013-09-22,10.0,M45-49
4043,La Foulee des Parcs,1km,2013-06-16,1.0,M12+
4043,La Foulee des Parcs,5km,2013-06-16,5.0,M40-49
2778,Scotiabank Toronto Waterfront Marathon,marathon,2014-10-19,42.195,M40-44
2778,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M40-44
2778,Tamarack Ottawa Race Weekend,scotiabankm ottawa marathon,2014-05-25,-1,M40-44
2778,Goodlife Fitness Toronto Marathon,marathon,2014-05-04,42.195,M40-44
2778,Around the Bay Road Races,30km,2014-03-30,30.0,M40-44
2778,Goodlife Toronto Marathon, Half Marathon, and 5k,marathon,2013-05-05,42.195,M40-44
7315,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,M18-24
7315,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M18-24
6992,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F30-34
6179,Marathon Oasis Rock ‘n’ Roll de Montréal,half marathon,2014-09-28,21.0975,M35-39
423,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,M55-59
423,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M55-59
3912,Marathon Oasis Rock ‘n’ Roll de Montréal,half marathon,2014-09-28,21.0975,M30-34
3912,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,M30-34
1037,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F60-64
3276,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F35-39
6794,La Grande Vadrouille,10km,2013-09-15,10.0,M30-39
6794,Marathon des Deux Rives Lévis-Québec,marathon,2013-08-25,42.195,M30-39
6794,Défi Boréal Sainte-Anne-de-Bellevue,20km,2013-08-04,20.0,M30-39
6794,Vert le Raid - Quebec Mega Trail,25km,2013-07-13,25.0,M30-39
